open,high,low,close,volume,adj_high,adj_low,adj_close,adj_open,adj_volume,split_factor,dividend,symbol,exchange,date
53.52,54.33,53.52,54.25,12704525.0,54.33,53.52,54.25,53.52,12704525.0,1.0,0.0,CSCO,XNAS,2024-10-11T00:00:00+0000
53.7,53.81,53.42,53.54,9377463.0,53.81,53.42,53.54,53.7,9377463.0,1.0,0.0,CSCO,XNAS,2024-10-10T00:00:00+0000
52.65,53.675,52.54,53.56,10586120.0,53.675,52.54,53.56,52.65,10586120.0,1.0,0.0,CSCO,XNAS,2024-10-09T00:00:00+0000
52.64,52.77,52.195,52.73,12365170.0,52.77,52.195,52.73,52.64,12365166.0,1.0,0.0,CSCO,XNAS,2024-10-08T00:00:00+0000
52.58,52.85,52.37,52.51,10941700.0,52.85,52.37,52.51,52.58,10941700.0,1.0,0.0,CSCO,XNAS,2024-10-07T00:00:00+0000
227.24,229.11,226.67,229.0,3162900.0,229.11,226.67,229.0,227.24,3163815.0,1.0,0.0,IBM,XNYS,2024-12-03T00:00:00+0000
227.5,228.38,225.51,227.39,2655900.0,228.38,225.51,227.39,227.5,2656181.0,1.0,0.0,IBM,XNYS,2024-12-02T00:00:00+0000
227.75,230.36,227.19,227.41,2640300.0,230.36,227.19,227.41,227.75,2640253.0,1.0,0.0,IBM,XNYS,2024-11-29T00:00:00+0000
228.83,229.19,224.27,226.92,2995121.0,229.19,224.27,226.92,228.83,2995121.0,1.0,0.0,IBM,XNYS,2024-11-27T00:00:00+0000
226.73,228.98,225.51,228.83,4448100.0,228.98,225.5115,228.83,226.73,4449543.0,1.0,0.0,IBM,XNYS,2024-11-26T00:00:00+0000
223.35,226.42,222.65,226.13,7187200.0,226.42,222.65,226.13,223.35,7189260.0,1.0,0.0,IBM,XNYS,2024-11-25T00:00:00+0000
223.35,227.2,220.89,222.97,5320200.0,227.2,220.89,222.97,223.35,5320740.0,1.0,0.0,IBM,XNYS,2024-11-22T00:00:00+0000
215.81,222.63,215.27,222.4,5234500.0,222.63,215.2701,222.4,215.81,5236434.0,1.0,0.0,IBM,XNYS,2024-11-21T00:00:00+0000
211.0,214.96,209.77,214.6,4562200.0,214.96,209.7725,214.6,211.0,4562901.0,1.0,0.0,IBM,XNYS,2024-11-20T00:00:00+0000
206.5,210.33,206.19,210.25,2859700.0,210.33,206.19,210.25,206.5,2860746.0,1.0,0.0,IBM,XNYS,2024-11-19T00:00:00+0000
207.0,208.42,205.37,208.09,3405900.0,208.415,205.3701,208.09,207.0,3406045.0,1.0,0.0,IBM,XNYS,2024-11-18T00:00:00+0000
207.46,208.49,204.07,204.99,3982800.0,208.49,204.07,204.99,207.46,3986460.0,1.0,0.0,IBM,XNYS,2024-11-15T00:00:00+0000
210.0,210.5,206.35,208.99,6370800.0,210.4999,206.35,208.99,210.0,6372853.0,1.0,0.0,IBM,XNYS,2024-11-14T00:00:00+0000
209.5,211.41,209.07,210.92,3247200.0,211.41,209.0701,210.92,209.5,3247830.0,1.0,0.0,IBM,XNYS,2024-11-13T00:00:00+0000
211.9,213.03,209.06,210.86,2817800.0,213.03,209.06,210.86,211.9,2818216.0,1.0,1.67,IBM,XNYS,2024-11-12T00:00:00+0000
214.4,215.41,213.48,213.57,3004500.0,215.41,213.48,211.9012,214.4,3012987.0,1.0,0.0,IBM,XNYS,2024-11-11T00:00:00+0000
214.16,216.7,212.78,213.72,3196200.0,216.7,212.7809,213.72,214.16,3201038.0,1.0,0.0,IBM,XNYS,2024-11-08T00:00:00+0000
213.64,214.5199,211.93,213.69,2265755.0,214.5199,211.93,213.69,213.64,3675812.0,1.0,0.0,IBM,XNYS,2024-11-07T00:00:00+0000
213.48,214.105,210.68,213.6,2904696.0,214.33,210.37,213.6,213.48,3934386.0,1.0,0.0,IBM,XNYS,2024-11-06T00:00:00+0000
206.17,208.115,205.57,207.57,2435713.0,208.115,205.57,207.57,206.17,2441535.0,1.0,0.0,IBM,XNYS,2024-11-05T00:00:00+0000
207.65,207.7,205.8,206.32,2593900.0,207.7,205.8,206.32,207.65,2594119.0,1.0,0.0,IBM,XNYS,2024-11-04T00:00:00+0000
207.77,209.84,207.41,208.25,3334100.0,209.84,207.41,208.25,207.77,3334308.0,1.0,0.0,IBM,XNYS,2024-11-01T00:00:00+0000
204.13,208.13,203.51,206.72,5923000.0,208.13,203.51,206.72,204.13,5925250.0,1.0,0.0,IBM,XNYS,2024-10-31T00:00:00+0000
209.48,211.12,204.26,204.9,5838629.0,211.12,204.26,204.9,209.48,6956624.0,1.0,0.0,IBM,XNYS,2024-10-30T00:00:00+0000
211.99,213.34,209.85,210.43,5225918.0,213.34,209.85,210.43,211.99,5258366.0,1.0,0.0,IBM,XNYS,2024-10-29T00:00:00+0000
215.5,216.25,212.7,212.91,4990300.0,216.25,212.7,212.91,215.5,4993343.0,1.0,0.0,IBM,XNYS,2024-10-28T00:00:00+0000
216.8,218.65,214.385,214.67,8482235.0,218.65,214.385,214.67,216.8,8482235.0,1.0,0.0,IBM,XNYS,2024-10-25T00:00:00+0000
220.8,221.32,216.16,218.39,11189900.0,221.32,216.16,218.39,220.8,11193440.0,1.0,0.0,IBM,XNYS,2024-10-24T00:00:00+0000
230.41,233.34,230.26,232.75,5767500.0,233.34,230.26,232.75,230.41,5791002.0,1.0,0.0,IBM,XNYS,2024-10-23T00:00:00+0000
231.99,232.97,230.67,232.25,3134429.0,232.97,230.67,232.25,231.99,3180807.0,1.0,0.0,IBM,XNYS,2024-10-22T00:00:00+0000
231.21,232.42,230.26,231.75,2690031.0,232.42,230.26,231.75,231.21,2733336.0,1.0,0.0,IBM,XNYS,2024-10-21T00:00:00+0000
231.92,232.65,230.17,232.2,4715000.0,232.6499,230.17,232.2,231.92,4715688.0,1.0,0.0,IBM,XNYS,2024-10-18T00:00:00+0000
232.0,233.125,230.655,232.88,5039505.0,233.145,230.655,232.88,232.0,5040092.0,1.0,0.0,IBM,XNYS,2024-10-17T00:00:00+0000
232.11,233.88,231.13,233.67,2841230.0,233.88,231.12,233.67,232.11,2846669.0,1.0,0.0,IBM,XNYS,2024-10-16T00:00:00+0000
236.4,237.37,232.71,232.96,3337691.0,237.37,232.71,232.96,236.4,3350556.0,1.0,0.0,IBM,XNYS,2024-10-15T00:00:00+0000
233.57,236.12,233.17,235.26,2486625.0,236.12,233.17,235.26,233.57,2524389.0,1.0,0.0,IBM,XNYS,2024-10-14T00:00:00+0000
233.25,233.44,230.46,233.26,3469200.0,233.44,230.46,233.26,233.25,3469322.0,1.0,0.0,IBM,XNYS,2024-10-11T00:00:00+0000
235.1,235.83,231.81,233.02,3141700.0,235.83,231.81,233.02,235.1,3142031.0,1.0,0.0,IBM,XNYS,2024-10-10T00:00:00+0000
229.2,234.95,228.5,234.3,5077800.0,234.95,228.5,234.3,229.2,5083566.0,1.0,0.0,IBM,XNYS,2024-10-09T00:00:00+0000
228.11,229.35,227.04,228.62,3245100.0,229.345,227.0401,228.62,228.11,3245342.0,1.0,0.0,IBM,XNYS,2024-10-08T00:00:00+0000
225.38,227.67,225.02,227.12,3452136.0,227.67,225.02,227.12,225.38,3457952.0,1.0,0.0,IBM,XNYS,2024-10-07T00:00:00+0000
248.23,249.04,244.63,244.82,6657694.0,249.04,244.63,244.82,248.23,6657694.0,1.0,0.0,JPM,XNYS,2024-12-03T00:00:00+0000
249.55,250.25,245.03,246.25,8899741.0,250.25,245.03,246.25,249.55,8899741.0,1.0,0.0,JPM,XNYS,2024-12-02T00:00:00+0000
249.86,251.77,249.445,249.72,5494825.0,251.77,249.45,249.72,249.86,5494825.0,1.0,0.0,JPM,XNYS,2024-11-29T00:00:00+0000
249.35,251.19,248.771,249.79,5472265.0,251.19,248.771,249.79,249.35,5472265.0,1.0,0.0,JPM,XNYS,2024-11-27T00:00:00+0000
250.49,251.0,248.34,249.97,6212142.0,251.0,248.34,249.97,250.49,6212142.0,1.0,0.0,JPM,XNYS,2024-11-26T00:00:00+0000
249.59,254.31,249.06,250.29,10295350.0,254.31,249.06,250.29,249.59,10295350.0,1.0,0.0,JPM,XNYS,2024-11-25T00:00:00+0000
243.61,249.15,243.0347,248.55,7997307.0,249.15,243.0347,248.55,243.61,7997307.0,1.0,0.0,JPM,XNYS,2024-11-22T00:00:00+0000
243.23,245.49,242.105,244.76,8783516.0,245.49,242.105,244.76,243.23,8783516.0,1.0,0.0,JPM,XNYS,2024-11-21T00:00:00+0000
244.4,244.61,238.64,240.78,9015290.0,244.61,238.64,240.78,244.4,9015290.0,1.0,0.0,JPM,XNYS,2024-11-20T00:00:00+0000
242.25,245.1509,241.55,243.09,6792660.0,245.1509,241.55,243.09,242.25,6792660.0,1.0,0.0,JPM,XNYS,2024-11-19T00:00:00+0000
247.76,247.93,242.68,245.03,9052575.0,247.93,242.68,245.03,247.76,9052575.0,1.0,0.0,JPM,XNYS,2024-11-18T00:00:00+0000
241.46,246.42,241.46,245.31,11518836.0,246.42,241.46,245.31,241.46,11518836.0,1.0,0.0,JPM,XNYS,2024-11-15T00:00:00+0000
242.415,244.29,241.05,241.87,10172202.0,244.29,241.05,241.87,242.415,10172202.0,1.0,0.0,JPM,XNYS,2024-11-14T00:00:00+0000
240.58,244.09,240.31,241.16,11472557.0,244.09,240.31,241.16,240.58,11472557.0,1.0,0.0,JPM,XNYS,2024-11-13T00:00:00+0000
240.55,241.46,238.76,239.56,6860956.0,241.46,238.76,239.56,240.55,6860956.0,1.0,0.0,JPM,XNYS,2024-11-12T00:00:00+0000
240.0,242.1,239.0,239.29,9017079.0,242.1,239.0,239.29,240.0,9017079.0,1.0,0.0,JPM,XNYS,2024-11-11T00:00:00+0000
239.34,239.34,235.78,236.98,9502100.0,239.34,235.78,236.98,239.34,9502100.0,1.0,0.0,JPM,XNYS,2024-11-08T00:00:00+0000
244.5,244.57,235.22,236.38,16450905.0,244.57,235.22,236.38,244.5,16451071.0,1.0,0.0,JPM,XNYS,2024-11-07T00:00:00+0000
235.0,248.0,234.77,247.06,23987753.0,248.0,234.77,247.06,235.0,23987753.0,1.0,0.0,JPM,XNYS,2024-11-06T00:00:00+0000
220.03,221.96,220.0,221.49,5596621.0,221.96,220.0,221.49,220.03,5600686.0,1.0,0.0,JPM,XNYS,2024-11-05T00:00:00+0000
222.65,223.76,219.17,219.78,8229588.0,223.76,219.17,219.78,222.65,8229588.0,1.0,0.0,JPM,XNYS,2024-11-04T00:00:00+0000
223.56,226.15,222.7,222.94,6923452.0,226.15,222.7,222.94,223.56,6923452.0,1.0,0.0,JPM,XNYS,2024-11-01T00:00:00+0000
224.7,225.69,221.82,221.92,7829932.0,225.69,221.82,221.92,224.7,7829932.0,1.0,0.0,JPM,XNYS,2024-10-31T00:00:00+0000
222.54,226.31,221.58,224.41,7110941.0,226.31,221.58,224.41,222.54,7110941.0,1.0,0.0,JPM,XNYS,2024-10-30T00:00:00+0000
225.21,226.75,222.81,222.9,6580004.0,226.75,222.81,222.9,225.21,6580004.0,1.0,0.0,JPM,XNYS,2024-10-29T00:00:00+0000
223.35,225.64,222.95,225.5,6842956.0,225.64,222.95,225.5,223.35,6842956.0,1.0,0.0,JPM,XNYS,2024-10-28T00:00:00+0000
225.0,225.62,220.875,222.31,6369720.0,225.62,220.875,222.31,225.0,6369720.0,1.0,0.0,JPM,XNYS,2024-10-25T00:00:00+0000
221.83,225.06,221.66,224.98,6002202.0,225.06,221.66,224.98,221.83,6002202.0,1.0,0.0,JPM,XNYS,2024-10-24T00:00:00+0000
223.66,224.7999,222.53,223.41,6180528.0,224.7999,222.53,223.41,223.66,6180528.0,1.0,0.0,JPM,XNYS,2024-10-23T00:00:00+0000
223.02,225.28,221.1,224.12,9586793.0,225.28,221.1,224.12,223.02,9586793.0,1.0,0.0,JPM,XNYS,2024-10-22T00:00:00+0000
225.22,225.7,222.9,223.0,5869959.0,225.7,222.9,223.0,225.22,5869959.0,1.0,0.0,JPM,XNYS,2024-10-21T00:00:00+0000
225.0,225.92,223.1,225.37,7000543.0,225.92,223.1,225.37,225.0,7000543.0,1.0,0.0,JPM,XNYS,2024-10-18T00:00:00+0000
